Range=00, Channel=00, ZERO, Address=00, Data=84
Range=00, Channel=00, FULL, Address=20, Data=8b
Range=00, Channel=01, ZERO, Address=01, Data=83
Range=00, Channel=01, FULL, Address=21, Data=8a
Range=00, Channel=02, ZERO, Address=02, Data=84
Range=00, Channel=02, FULL, Address=22, Data=90
Range=00, Channel=03, ZERO, Address=03, Data=82
Range=00, Channel=03, FULL, Address=23, Data=98
Range=00, Channel=04, ZERO, Address=04, Data=89
Range=00, Channel=04, FULL, Address=24, Data=80
Range=00, Channel=05, ZERO, Address=05, Data=86
Range=00, Channel=05, FULL, Address=25, Data=88
Range=00, Channel=06, ZERO, Address=06, Data=83
Range=00, Channel=06, FULL, Address=26, Data=8b
Range=00, Channel=07, ZERO, Address=07, Data=85
Range=00, Channel=07, FULL, Address=27, Data=90
Range=00, Channel=08, ZERO, Address=08, Data=87
Range=00, Channel=08, FULL, Address=28, Data=9c
Range=00, Channel=09, ZERO, Address=09, Data=83
Range=00, Channel=09, FULL, Address=29, Data=9a
Range=00, Channel=0a, ZERO, Address=0a, Data=87
Range=00, Channel=0a, FULL, Address=2a, Data=96
Range=00, Channel=0b, ZERO, Address=0b, Data=8d
Range=00, Channel=0b, FULL, Address=2b, Data=92
Range=00, Channel=1e240, FULL, Address=2c, Data=8b
Range=00, Channel=40bef43, FULL, Address=2d, Data=94
Range=01, Channel=00, ZERO, Address=10, Data=85
Range=01, Channel=00, FULL, Address=30, Data=8b
Range=01, Channel=01, ZERO, Address=11, Data=84
Range=01, Channel=01, FULL, Address=31, Data=8b
Range=01, Channel=02, ZERO, Address=12, Data=85
Range=01, Channel=02, FULL, Address=32, Data=8f
Range=01, Channel=03, ZERO, Address=13, Data=84
Range=01, Channel=03, FULL, Address=33, Data=97
Range=01, Channel=04, ZERO, Address=14, Data=8c
Range=01, Channel=04, FULL, Address=34, Data=81
Range=01, Channel=05, ZERO, Address=15, Data=8a
Range=01, Channel=05, FULL, Address=35, Data=88
Range=01, Channel=06, ZERO, Address=16, Data=85
Range=01, Channel=06, FULL, Address=36, Data=8b
Range=01, Channel=07, ZERO, Address=17, Data=87
Range=01, Channel=07, FULL, Address=37, Data=8e
Range=01, Channel=08, ZERO, Address=18, Data=88
Range=01, Channel=08, FULL, Address=38, Data=9c
Range=01, Channel=09, ZERO, Address=19, Data=84
Range=01, Channel=09, FULL, Address=39, Data=9a
Range=01, Channel=0a, ZERO, Address=1a, Data=8c
Range=01, Channel=0a, FULL, Address=3a, Data=95
Range=01, Channel=0b, ZERO, Address=1b, Data=8e
Range=01, Channel=0b, FULL, Address=3b, Data=93
Range=01, Channel=1e240, FULL, Address=3c, Data=8b
Range=01, Channel=40bef43, FULL, Address=3d, Data=93
